Term,Year,Internship Site,Title (if applicable),Location,Latitude,Longitude,Notes (if any),Notes on Location
Fall,2021,Jesup Library,Digital Archive Assistant,"Bar Harbor, Maine",44.3876378,-68.2043361,,
Winter,2018,Jesse Salisbury,Asisstant to Jesse,"Bar Harbor, Maine",44.3876378,-68.2043361,,
"Fall, Winter, Spring","1987, 1988",Jesse Einhorns' Home,Nanny,"Bar Harbor, Maine",44.3876378,-68.2043361,,
Spring,2018,Jeff Dobbs Productions + Bar Harbor Whale Watch,Intern,"Bar Harbor, Maine",44.3876378,-68.2043361,,
Fall,1987,Jeff Dobbs Productions,Intern,"Bar Harbor, Maine",44.3876378,-68.2043361,,
Summer,1986,Jayn Thomas Studio,Weaving Apprentice,"Ellsworth, Maine",44.5414036,-68.4243047,Incuded newspapers,
Summer,2001,James Monroe High School,Intern,"Los Angeles, California",34.2380325,-118.4785228,,
Fall,2010,Jamaica bay Institute,Research Assistant,"New York, New York",40.741895,-73.989308,,
Summer,2000,Jackson Laboratory,Lab Assistant,"Bar Harbor, Maine",44.3876378,-68.2043361,,
Summer,1990,Jackson Laboratory,Lab Intern,"Bar Harbor, Maine",44.3876378,-68.2043361,,
Winter,1995,Jackson Laboratory,Laboratory Assistant,"Bar Harbor, Maine",44.3876378,-68.2043361,,
Summer,2006,Jackson Laboratory,Research Assistant,"Bar Harbor, Maine",44.3876378,-68.2043361,,
Summer,2013,Jackson Laboratory,Research Assistant,Bar Harbor Maine,44.3876378,-68.2043361,,
Summer ,1999,Jackson Laboratory,Research Assistant,"Bar Harbor, Maine",44.3876378,-68.2043361,,
Summer,1973,Jackson Laboratory,Researcher,"Bar Harbor, Maine",44.37889528,-68.21606167,,
Summer,1994,Jackson Laboratory,Intern,"Bar Harbor, Maine",,,,
Summer,2015,Jackson Laboratory,Intern,"Bar Harbor, Maine",,,,
Winter,2005,Jackson Laboratory,Intern,"Bar Harbor, Maine",,,,
Summer,2006,Jackson Laboratory,Graphic Design Intern,"Bar Harbor, Maine",,,,
Summer,1990,Jackson Laboratory,Laboratory Assistant,"Bar Harbor, Maine",,,,
Fall/Winter,1998/1999,Jackson Hole Ski Corporation,Special Events Intern,"Teton Village, Wyoming",,,,
Spring,2014,Ivy Manor Inn,Intern,"Bar Harbor, Maine",44.3876378,-68.2043361,,
Summer,2022,Island Research Center,Intern,"Bar Harbor, Maine",44.3876378,-68.2043361,,
Summer,2004,Island Research Center,Research Assistant,"Bar Harbor, Maine",44.3876378,-68.2043361,,
Summer,2019,Island Reaserch Center,Research Assistant,"Great Duck Island, Maine",44.1499618,-68.2491876,,
Summer,2004,Island Reaserch Center,Field Researcher,"Great Duck Island, Maine",,,,
Summer,2020,Island Reaserch Center,Field Researcher,"Great Duck Island, Maine",,,,
Summer,2012,Island Reaserch Center,Field Researcher,"Great Duck Island, Maine",,,,
Fall,2018,Island Reaserch Center,Research Assistant,"Gouldsboro, Maine",,,,
Summer,1978,Island Craft Cooperative,Bookkeeper,"Bar Harbor, Maine",,,,
Winter,2007,Island Astronomy Institute,Intern,"Bar Harbor, Maine",44.3876378,-68.2043361,,
Fall,2008,International Organization for Migration (IOM),Intern,"San Jose, Costa Rica",9.9325427,-84.0795782,,
Winter,2013,International Council for Local Environmental Initiatives ,Ecotourism Management,"Mexico City, Mexico",,,,
Spring,2001,"International Childrens Arts Network Nonprofit Org, (ICAN)",Founder,"Moscow, Russia",55.75222,37.61556,"not during her time at COA, after.",
Fall,NA,International Center of Photography,Teachers Assistant,"New York, New York",40.741895,-73.989308,no year on paperwork,
Winter,2018,International Center for Reproductive Health Kenya,Research Assistant,"Mombasa, Kenya",,,,
Summer,1992,Interface Foundation,Intern,"Cambridge, Massachusetts",42.3655767,-71.1040018,Included Interface journal spring/summer 1992,
Summer,1992,Interface,Assistant to the Director of Programming,"Cambridge, Massachusetts",42.3655767,-71.1040018,,
Summer,1981,Interaction Associates Inc,Intern,"San Francisco, California",,,Not included: infographics,
Winter,2013,Institute of International Studies of Bolovia,Intern,"Cochabamba, Bolivia",-17.4012458,-66.1675681,,
Winter,2002,Institute for Transportation and Development Policy,Intern,"New York, New York",,,,
Fall ,2002,Institute for Sustainable Development and Environmental Protection Agency of Ethiopia,Intern,"Addis Ababa, Ethiopia",9.0358287,38.7524127,,
Summer,1978,Institute for Local Self Reliance,Intern,"Washington, D.C.",38.8950368,-77.0365427,,
Winter+Fall,1980,Institute for Energy Analysis (IEA),Intern,"Washington, D.C.",38.8950368,-77.0365427,"Not scanned: Businesscard for ""Forged Image Productions - Paul Cady, Newspaper page The Bar Harbor Times ""It's a Video World"", Paul Cady on front page.",
Summer,2007,Institute for Biomolecular Science at University of Wisconsin - La Crosse,Research Assistant,"La Crosse, Wisconsin",43.8156316,-91.2314611,,
Fall,1978,Insolar Homes Residential Designs and Construction,Laborer,"Buena Vista, Colorado",38.8422178,-106.1311288,,
Spring,1979,Independent Film Making,Intern,"Bar Harbor, Maine",,,,
Summer,1995,In The Woods Retail Outlet,Intern,"Edgartown, Massachusetts",41.3894198,-70.5129682,,
Winter ,2009,IDEM Identity through Initiative,Intern,"Basel, Switzerland",47.5581077,7.5878261,,
Summer,2003,IBIS Consulting,Intern,"Providence, Rhode Island",41.8239891,-71.4128343,,
Winter,2009,"Hutter Architects, LLC",Intern,"Chicago, Illinois",41.8755616,-87.6244212,,
Spring,2010,Hurriyet Daily News and Economic Review,Intern,"Istanbul, Turkey",41.006381,28.9758715,,
Summer,1976,Hurricane Island Outward Bound School,Intern,"Penobscot Bay, Maine",44.213474,-69.060834,,
Summer,1998,Hurricane Island Outward Bound School,Intern,"Penobscot Bay, Maine",44.213474,-69.060834,,
Summer,2005,Hurricane Island Outward Bound School,Intern,"Rockport, Maine",,,,
Previous Work Experience,1994-1997,Huntington Library,Administrative Assistant,"San Marino, California",,,,
Summer,2014,Humble Roots Nursery,Intern,"Mosier, Oregon",,,,
Winter,2009,Human Producciones,Assistant,"Bogotá, Colombia",4.6529539,-74.0835643,,
Fall,1985,Hubbs Marine Research Institute,Intern,"Carlsbad, California",,,,
Summer,2001,Hubbell & Hubbrll,Intern,"San Diego, California",32.7174202,-117.162772,,
Summer,1980,House of Representatives United States Congress ,Intern,"Capitol Hill, Washington D.C.",38.8842305,-77.0020119,Includes newspaper clippings ,
Winter,1988,House of Representatives ,Intern,"Denver, Colorado ",,,,
Summer,1991,Hot Flash Anny's Stained Glass,Intern,"Southwest Harbor, Maine",44.2798024,-68.3250168,,
Winter,2016,Hospital T1 de IMSS,Intern,"Mérida, Mexico",20.9670759,-89.6237402,,
Winter ,2009,Horsepower Farm,Farm Hand,"Penobscot, Maine",44.4683639,-68.709322,,
Fall,1988,Horse Power Farm,Intern,"Blue Hill, Maine",44.414164,-68.58696,,
Summer,2005,Honor the Earth,Intern,"Minneapolis, Minnesota",,,,
Summer ,2001,Homeworkers Organized for More Employment,Intern,"Orland, Maine",44.5703522,-68.7358642,,
Winter,2002,Homestead Gardens Trust,Research Assistant,"Coromandel, New Zealand",-36.7571639,175.5007016,,
Spring,2020,Hokkaido University,Lab Assistant,"Hokkaido, Japan",,,,
Spring,1980,His Mansion Ministry,Intern,"Hillsboro, New Hampshire",43.1149568,-71.8948666,,
Fall,1993,Himalayan Institute,Resisdent Assistant,"Honesdale, Pennsylvania",,,,
Winter,1992,Hillcrest Educational Center,Intern,"Northampton, Massachusetts",42.3178989,-72.6311006,,
Summer,1999,Highmoor Farm,Intern,"Monmouth, Maine",,,,
Spring,1997,High School for Enviromental Studies,Intern,"New York, New York",40.741895,-73.989308,,
Summer,2013,"High Falls Gardens, Inc.",Intern,"Philmont, New York",,,,
Summer,2001,Hidden Villa Summer Camp,Residental Camp Counselor,"Los Altos Hills, California",37.3796627,-122.137463,,
Summer,2007,Herb Pharm,Intern,"Williams, Oregon",42.2186765,-123.2739559,,
Summer,2015,Herb Pharm,Intern,"Williams, Oregon",42.2186765,-123.2739559,,
"Summer, Fall",1998,Henry Doorly Zoo,Field Assistant,"Omaha, Nebraska",41.2587459,-95.9383758,,
Spring,1998,Henry Doorly Zoo,Field Assistant,"Omaha, Nebraska",41.2587459,-95.9383758,Included journals on Black-footed ferret,
Summer,2010,Henry Doorly Zoo,Zookeeper,"Omaha, Nebraska",41.2587459,-95.9383758,,
Fall,2016,Heifer International Farm,Educator,"Rutland, Massachusetts",42.3767722,-71.9543851,,
Spring,2023,Healthy Acadia,Gleaning Intern,"Ellsworth, Maine",44.5414036,-68.4243047,,
Summer,2021,Healthy Acadia,Gleaning Intern,"Ellsworth, ME",,,,
Summer,2018,Headwater Food Hub,Food and Farm Fellowship,"Ontario, New York",,,,
Summer,2012,Haystack Mountain School of Arts and Crafts,Intern,"Deer Isle, Maine",44.224044,-68.677597,,
Summer,1998,Haynsworth Construction,Builder,NA,,,,
Summer ,2019,Hawk Meadow Farm,Farm Hand,"Trumansburg, New York",42.5422939,-76.6660589,,
Winter,2001,Hawaii Preparatory Academy,Teacher Assistant,"Kamuela, Hawaii",20.020452,-155.66391,,
Summer,2005,Harvard Forest,Intern,"Petersham, Massachusetts",42.4883684,-72.1865591,,
Summer,2007,Harvard Forest,Intern,"Petersham, Massachusetts",,,,
Spring ,2012,Harold Lynk Plumbing and Heating,Plumer's Assistant,"Bar Harbor, Maine",,,,
Summer ,2007,Harbor House Children's Center,Camp Counselor,"Southwest Harbor, Maine",44.2798024,-68.3250168,,
Summer,1994,Harbor House,Camp Counselor,"Southwest Harbor, Maine",44.2798024,-68.3250168,,
Spring,1991,Harbor House,Intern,"Southwest Harbor, Maine",44.2798024,-68.3250168,,
Summer,1995,Harbor House,Intern,"Southwest Harbor, Maine",,,,
Winter,1991,Harbor Branch Oceaonographic Institution,Intern,"Fort Peirce, Florida",,,,
Summer,1973,Hanxoxk County Regional Planning Commission,Intern,"Ellsworth, Maine",,,Not Scanned: Some newspapers,
Winter,2007,Hang Prosthetics and Orthotics,Intern,"Waterville, Maine",44.5520105,-69.6317121,,
Summer ,1986,Hancock County Planning Commission,Intern,"Ellsworth, Maine",,,,
Fall,2012,Hamilton Farm,Farm Assistant,"Whitefield, Maine",44.1700735,-69.6253223,,
Spring,1981,"Hallock Architects, Inc.",Intern,"North Kingstown, Rhode Island",41.5514283,-71.4693875,,
Fall,1988,Hall School,Student Teacher,"Portland, Maine ",,,,
Spring,2006,Hale and Hale Office,Intern,"Ellsworth, Maine",44.5414036,-68.4243047,,
Spring,1977,Habitat Inc.,Intern,"Belmont, Massachusetts",42.3959296,-71.1786655,,
Summer,1984,H.R.Beal and Sons,Intern,"Southwest Harbor, Maine",,,,
Spring,1995,H.O.M.E.,Intern,"Orland, Maine",44.5703522,-68.7358642,,
Spring,2015,Gut Wulfsdorf Farming Community,Butcher Intern,"Ahrensburg, Germany ",,,,
Summer,2021,Guru Ram Das Orchards,Farm Intern,"Esparto, California",,,,
Spring,2016,Groundcover News,Staff Assistant/Writer,"Ann Arbor, Michigan",,,,
Summer,2003,Greenwood,Backcountry Boat Building Intern,Honduras,15.2572432,-86.0755145,,could not find specific project site
Summer,2011,Greenwich Audubon Center,Intern,"Greenwich, Connecticut",41.0264862,-73.6284598,,
Winter,2006,Greenpeace Italy,Campaign Assistant,"Rome, Italy",,,,
Fall,2007,Greenpeace International ,Intern,"Karnataka, India ",,,,
Summer,1978,Greenpeace,Intern,"London, England",,,,
Fall,1982,Green Mountain Herbs,Intern,"Boulder, Colorado",40.0149856,-105.270545,,
Summer ,1994,Green Mountain Forest Watch,Research Assistant,"Brattleboro, VT",,,,
Summer,1977,Green Mountain Club,Intern,"Rutland, Vermont",43.6084792,-72.9724768,,
Fall,2005,Green Grass Real Estate,Intern,"Chicago, Illinois",41.8755616,-87.6244212,,
Fall ,2014,Green Flamingo Organics,Farm Intern,"Oak Hill, Florida",28.8644338,-80.8544975,,
Summer,2022,Green Coast Kayaking,Kayak Guide,"Haida Gwaii, BC",,,,
Winter,2016,Greek Forum of Refugees,Intern,"Athens, Greece",37.9755648,23.7348324,,
Winter,1993,"Great Smoky Mountains National Park, Division of Research Management and Science",Intern,"Gatlinburg, Tennessee",,,,
Summer,1992,Great Smoky Mountains National Park,Intern,"Gattlenburg, Tennessee",35.7148394,-83.50728705,,
Summer,1990,Great harbor Collection Museum,Executive Director,"Northeast Harbor, Maine",44.2942468,-68.2897381,,
Summer,1983,Great Gull Island Project,Research Assistant,"Great Gull Island, New York",41.2020749,-72.1189802,Included some journals with them for alumni archives,
Summer,2020,Great Duck Island,Research Assistant,"Great Duck Island, Maine",44.1499618,-68.2491876,,
Fall,2010,Great Duck Island,Researcher,"Great Duck Island, Maine",44.1499618,-68.2491876,,
Summer,2019,Great Duck Island,Research Assistant,"Frenchboro, Maine",,,,
Spring/Summer ,2015,Great Cranberry Island Island Ecology Project,Farmhand,"Great Cranberry Island, Maine",,,,
Summer,2020,Great Cranberry Island Historical Society,Intern,"Cranberry Isles, Maine",44.248642,-68.260803,,
Summer,2000,Great Bay Aquafarms,Research Assistant,"Portsmouth, New Hampshire ",,,,
Summer,1991,Grand Council of the Cree,Intern,"James Bay, Quebec",51.96351,-75.0355484,Included Maine in Print March 1997,
Winter,2008,Gowanlea Gold Honey,Beekeeper's Assistant,"Gowanlea, New Zealand",-43.4680481,171.8258903,,
Summer,1981,Govatos Dunn,Intern,"Washington, D.C.",38.8950368,-77.0365427,,
Summer,2001,Gould Acedemy Summer School,Intern,"Bethel, Maine",44.4057643,-70.7900436,,
Summer,2005,"Gotts Island Day Camp, Dumbledore Farm",Intern,"Great Gott Island, Maine",44.2012865,-68.3272202,,
"Fall, Winter","2006, 2007",Gordon Stanley Architecture,Intern,"Southwest Harbor, Maine",44.2798024,-68.3250168,,
n/a,2003,Good Samaritan Primary School,n/a,Uganda,,,,
Summer,1992,Goddard Space Flight Center,Intern,"Greenbelt, Maryland",,,,
Summer,2018,GO Logic,Architectural Intern,"Belfast, Maine",,,,
Summer,1996,GMB Architects-Engineers,Architectural Intern,"Holland, Michigan",42.7876022,-86.1090828,,
Summer,1982,Gloucester Fisherman's Museum Cetacean Research Unit,Intern,"Gloucester, Massachusetts",42.6159286,-70.6619888,,"changed location to Gloucester, Massachusetts instead of ""Gulf of Maine Research"""
Summer,2014,Global Potential,Summer Program Facilitator,"New York, New York",,,,
Summer ,2007,Global Marine Interiors ,Strategy and Marketing Intern,"Miami, Florida",,,,
Winter,2001,Global Exchange,Human Rights Observer,"Chiapas, Mexico",16.5000001,-92.5000001,,
Summer,2006,Global Community Initiatives,Intern,"Cambridge, Massachusetts ",,,,
Winter,2003,Glide Memorial United Methodist Church,Volunteer Office Intern,"San Francisco, California",,,,
Winter ,2017,Glasswing International,Club Facilitator,"San Salvador, El Salvador",13.6989939,-89.1914249,,
Summer,2019,Girl Scouts of Western Ohio,Camp Counselor,"Maumee, Ohio",,,,
Summer,1998,Gerrish Chiropractic Center,Intern,"Bar Harbor, Maine",44.3876378,-68.2043361,,
Fall,1978,"George E. Brown, Jr.",Intern,Washington D.C.,,,,
Fall ,1988,George C. Soule Elementary School,Student Teacher,"South Freeport, Maine",,,,
Summer,2019,George B. Dorr Museum of Natural History,Intern,"Bar Harbor, Maine",44.3876378,-68.2043361,,
Summer,1989,George B. Dorr Museum of Natural History,Museum Assistant,"Bar Harbor, Maine",,,,
Winter,2007,General Motors Acceptance Corporation GMAC real Estate International Properties,Intern,"New York, New York",40.741895,-73.989308,,
Spring,2001,"Gay, Lesbian, Bisexual, Transgendered Historical Society of Northern California",Assistant Archivest,"San Francisco, California",,,,
Summer,2022,Gathering Ground,Intern,"Washington Island, Wisconsin ",,,,
Summer,1984,Gates Moore,Intern,"Norwalk, Connecticut",41.1175966,-73.4078968,,
Fall,2008,Gardens by Design,Intern,"Bar Harbor, Maine",44.3876378,-68.2043361,,
Summer,2008,Gardens by Design,Intern,"Bar Harbor, Maine",,,,
Summer,2004,Gardens by Design,Intern,"Bar Harbor, Maine",,,,
Spring,2012,Garden Side Dairy,Intern,"Jonesboro, Maine",44.6625773,-67.5724938,,
Fall,1998,Gandoca-Manzanillo National Wildlife Refuge (REGAMA),Conservation Intern,"Gandoca, Costa Rica",9.5852024,-82.6114729,,
Winter,1979,Galapagos Green Sea-Turtle Ecology Project,Research Assistant,"Galapagos, Ecuador",-0.6288151,-90.3638752,,
Winter,1997,Fun Display,Intern,"San Francisco, California",37.7792588,-122.4193286,,
Summer,2022,Frough Clark LLC,Intern,"Washington, D.C.",38.8950368,-77.0365427,,
Fall,2013,Frinklpod Farm,Intern,"Arundel, Maine",43.3825857,-70.4778292,,
Summer,1994,Fringe Festival,Intern,"Edinburgh, Scotland",55.9533456,-3.1883749,,
Winter,2016,Friends of the Earth UK,Dept. of Climate Change Intern,,,,,
Summer,2015,Friends of Tauton Bay + Frenchman Bay Conservancy,Summer Project Intern,"Hancock + Franklin, Maine",,,,
Winter,2015,Friends of Earth/Justica Ambiental,Campaign Assistant,"Maputo, Mozambique",-25.966213,32.56745,,
Summer,2018,Friends of Acadia,Intern,"Bar Harbor, Maine",44.3876378,-68.2043361,,
Summer,2017,Friends of Acadia,Research Assistant,"Bar Harbor, Maine",44.3876378,-68.2043361,,
Summer,2017,Freshwater Stone,Mason,"Orland, Maine",,,,
Winter,1994,Freelance Photography,Intern,"Bridgton, Maine ",,,,
Fall,2006,Franklin Park Coalition,Media Intern,"Boston, Massachusetts",42.3554334,-71.060511,,
Summer,2009,"Franklin Furnace Archive, INC.",Museum Intern ,"Brooklyn, NY",,,,
Winter,2022,Franklin Furnace,Archivist Intern,"New York, New York",40.741895,-73.989308,,
Summer,2021,Fox Forestry,International Forestry Relations Coordinator,"Orland, Maine",44.5703522,-68.7358642,,
Fall,1998,Four Corners School of Outdoor Education,Intern,"Monticello, Utah",37.8750565,-109.3403148,Included program brochure,
Spring,2014,Fototeca Pedro Guerra,Intern,"Merida, Yucatan",,,,
Summer ,2019,Foster Supply Hospitality,Intern,"Sullivan County, New York",41.7156311,-74.7804323,,
Summer,1984,Forest Service,Forest Technician,"Avery, Idaho",47.25076,-115.80635,,
Winter,2004,Food First,Intern,"Oakland, California",37.8044557,-122.271356,,
Summer,2022,Florae Collaborative,Greenhouse Assistant,"Ithaca, New York",42.4374175,-76.5483724,,
Spring,1991,Flag Hill Farm,Intern,"Vershire, Vermont",43.9708211,-72.3248504,,
Winter ,2000,Fishmasters Charters,Fishing Guide,"Bokeelia, Florida ",,,,
Summer,1976,Fish and Wildlife Services,Research Assistant,"Sheridan, Wyoming",44.797194,-106.956179,,
Winter,1994,First Congressional Church of Blue Hill,Intern,"Blue Hill, Maine",,,,
spring,2001,Fire Island National Seashore,Field Biologist,"Ocean Beach, NY",,,,
Summer,2016,Fine Line Farm,Intern,"Searsmont, Maine",44.3617419,-69.1950411,,
Summer,2018,Findlay Market,Intern,"Covington, Kentucky",39.0831712,-84.5107548,,
spring,2014,Finca Sagrada Homestead Community,Blodynamic Farm Intern,"Vilcabamba, Ecuador",,,,
Winter,2009,Finca La Isla,Intern,"Puerto Viejo de Talamanca, Costa Rica",9.65685,-82.75449,,"coordinates for ""Jardín Botánico Finca la Isla, Limón, Puerto Viejo de Talamanca, 70403, Costa Rica"", search based on Finca La Isla"
Winter ,2008,Finca el Peregrino,Intern,"Mendoza, Argentina",-34.787093,-68.4381868,,
Summer,2015,Filaree Farm,Intern,"Okanogan, Washington",48.5158513,-119.6527477,,
Summer,2021,Fietsersbond,Bike Route Planner Development Assistance,"Utrectht, Netherlands",,,,
Summer,2021,Fiddleheads Forest School,Intern,"Seattle, Washington",47.589298,-122.384975,,
Summer,2013,FERSIGUA ,Intern,"Sacatepéquez, Guatemala",14.5531759,-90.7547018,,
Summer,2015,Fauna Forever,Intern,Peru,-6.8699697,-75.0458515,,
Winter,1999,Farm Sanctuary,Intern,"Orland, California",39.7471106,-122.191135,,
Summer,2018,Farm and Wilderness camps,Intern,"Plymouth, Vermont",43.5355839,-72.7217781,,
Summer,2007,Farm and Wilderness Camps,Intern,"Plymouth, Vermont                                                                              ",,,,
Summer,1978,Farallones Rural Center,Intern,"Farallon Islands, California",37.7332634,-123.0344446,,
Spring,1982,Far House farm,Intern,"Morill, Maine",,,,
Summer,1984,Famous Rider Theatre,Stage Manager,"Pittsburgh, Pennsylvania",,,,
Winter,2008,Fair Trade Resource Network,Intern,"Bar Harbor, Maine",44.3876378,-68.2043361,,
Fall,2000,Face Magazine,Editorial Assistant/Contributing Writer,"Portland, Maine",,,,
Summer,1999,Exploration Summer Programs,Intern,"Southborough, Massachusetts",42.3056501,-71.5245087,Included journals of Exploration Summer programs,
Summer,2001,Exeltech Consulting Engineers,Assistant Planner,"Olympia, Washington",47.0451022,-122.8950075,,
Winter,2015,Evergreen Pottery Studio,Ceramics Apprentice,"Trenton, Maine",44.439173,-68.370667,,
Fall,2008,Estel Gallery,Intern,"Nashville, Tennessee",,,,
Summer,2011,Equality Maine,Canvass Director,"Bangor, Maine",44.8016255,-68.7713289,,
Spring,2014,Equality Maine,Intern,"Portland, Maine",43.6573515,-70.2584115,,
Summer,2012,Equality Maine,Intern,"Portland, Maine",43.6573515,-70.2584115,,
Winter,1989,Episcopal Divinity School,Research Assistant,"Cambridge, Massachusetts",,,,
Spring,2020,Environmental Protection and Urban Development (PEPMADU),Intern,"Queretaro, Mexico",20.5927744,-100.3902245,,
Winter,2002,Environmental Protection Agency,Research Assistant,"San Francisco, California",,,,
Winter,2005,Environmental Film Festival,Intern,"Washington, D.C.",,,,
Summer,1988,Enviromental Resource Management Inc (ERM),Intern,"Exton, Pennsylvania",40.0289955,-75.6207651,,
Winter,2022,Envirocorp Labs,Lab Intern,"Harrington, Delaware",38.9237244,-75.5777033,,
Winter,1997,Entrepeneurial Restaurant Venture ,Accountant/Bookeeper ,"Bar Harbor, Maine",,,,
Summer ,2000,Enrichment Center,Program Assistant,"Bethesda, Massachussets ",,,,
Summer,2003,English for Special Purposes Foundation,English Language Instructor,"Ulaanbaatar, Mongolia",,,,
Winter,2016,English At Large,Intern,"Boston, Massachusetts",42.3554334,-71.060511,,
Winter,2003,Endmonton Community Garden Network,Research Assistant,"Edmomton, Alberta, Canada",,,,
Winter,2000,Endangered Species Observer Program,Intern,"Athens, Georgia",33.9597677,-83.376398,,
Summer,2006,Empire State Pride Agenda,Intern,"New York, New York",40.741895,-73.989308,No files only Jills letter of completion,
Summer,1991,Emma Goldman Clinic for Women,Intern,"Iowa City, Iowa",,,,
Spring,2021,Emily Henry at Chickadee Hill Flowers,Landscape Intern,"Bar Harbor, Maine",,,,
Winter,1992,Emerson Middle School,Intern,"Bar Harbor, Maine",44.3876378,-68.2043361,,
Summer,2018,"Emerson Consulting group, inc",Research Intern,"Concord, Massachusetts",42.4605189,-71.3488963,,
Summer,2014,Ellsworth Free Clinic,Clinic Assistant,"Ellsworth, Maine",44.5414036,-68.4243047,,
Winter,1994,Ellis Island Immigration Museum,Intern,"New York, New York",40.741895,-73.989308,,
Summer,2021,Ellen Sedgwick Pottery Studio,Intern,"Surry, Maine",,,,
Spring,2022,Ellen Sedgwick,Potters Apprentice,"Surry, Maine",44.4959099,-68.5016874,,
Winter,2002,Elk Spar and Boat Shop ,Intern,"Bar Harbor, Maine ",,,,
Summer,2017,EFBC conservation and La Concepion Animal Hospital,Intern,"Rosamond, California",34.8641446,-118.1634075,,
Summer,2004,Edmund Niles Huyck Preserve,Intern,"Rensselaerville, New York",42.633119,-73.748507,,
Summer,2022,Edith and Tadhg Sweeney,Care giver,"Pocasset, Massachusetts",41.6971475,-70.6063733,Physical file recomendation from Jill,
Spring,2011,EdibleAspen,Intern,"Aspen, Colorado",,,,
Fall,2019,Edgecomb Potters,Studio Intern,"Woolwich, Maine",,,,
Summer ,1982,Eddyline Kayak Company,Intern,"Mukilteo, Washington ",,,,
Winter,1980,Ecotope Group,Intern,"Seattle, Washington",47.589298,-122.384975,,
Winter,2000,Ecosystem Defense Program,Research Assistant,"Missoula, Montana",46.8701049,-113.995267,,
Fall,1985,EastWest Journal,Intern,"Brookline, Massachusetts",42.3317642,-71.1211635,,
Summer,1993,East Wind,Intern,"Tecumseh, Missouri",36.5867296,-92.2865477,,
Summer,1980,East Eleventh Street Movement,Intern,"New York, New York",40.741895,-73.989308,,
Spring,1992,EarthStar Institute,Intern,"Sewanee, Tennessee",35.150642,-85.890914,,
Winter,1995,Earthminders,Intern,"Augusta, Maine",44.3169922,-69.7734278,,
Summer,2002,Earthlands,Intern,"Petersham, Massachusetts",42.4883684,-72.1865591,,
Winter,2007,Earthhaven Ecovillage,Integrated Agriculture/Food System Design Intern,"Black Mountain, North Carolina",35.6176544,-82.3205791,,
Summer,2018,Earth Sky Time Community Farm,Cooking and Baking Intern,"Manchester, Vermont",,,,
Summer,2016,Earth Sky  Time Farm,Intern,"Manchester, Vermont",43.1637747,-73.0719969,,
Summer,2005,Earth Mountain Educational Farm,Intern,"Weston, Colorado",37.1328043,-104.8488747,,
Summer,2005,Earth Mountain Educational Farm,Farm Intern,"Weston, Colorado",,,,
Fall ,1993,Earth Centre,Intern,"South Yorkshire, United Kingdom",53.4815333,-1.3810422,,
Winter,2015,Earlybird Farm,Wwoofer,"Hodges, South Carolina",,,,
Fall,2012,e8 resource,Business Opportunit Reasercher in Solid Waste Disposal Industry,"Shanghai, China",31.2323437,121.4691024,,
Winter ,1995,"E, Enviromental Magazine",Editorial Intern,"Norwalk, CT",,,,
Summer,2005,"Dumbledore Farm, AS220",Intern,"Great Gott Island, Maine, Newton Massachusetts",44.2012865,-68.3272202,,coordinates for Great Gott Island
Summer,2022,Driftwood Estate,Summer Gardening Intern,"Northeast Harbor, Maine",44.2942468,-68.2897381,,
Winter,2001,Dresden International School,Intern,"Dresden, Germany",,,,
Fall,1978,Dr. Luis M. Uriarte,Intern,"Nape River, Peru",,,,
Winter,2013,Dr William Edwards,Intern,"Huntington, West Virginia",38.4192496,-82.445154,,
Summer,1977,Dr E.H. McCleery Lobo Wolf Foundation,Intern,"Gardiner, Washington",48.0498137,-122.9157272,,
Summer,1979,Downing/Leach Associates,Intern,"Boulder, Colorado",40.0149856,-105.270545,,
Winter,2015,Downeast Coastal Conservancy,Intern,"Bar Harbor, Maine",44.3876378,-68.2043361,,
Spring/Summer ,1994,Down East AIDS Network,Intern,"Ellsworth, Maine",,,,
Summer,2022,Dover Fueling Solutions,Buisiness Analyst,Austin Texas,30.2711286,-97.7436995,,
Fall,2014,Double Edge Theatre,Artistic Intern,"Ashfield, Massachusetts",42.5260396,-72.7909151,,
Summer,2006,Domine,Translator/Editor,"Split, Croatia",43.5116383,16.4399659,,
Spring,1987,Dobbs Production Co.,Videographer,"Bar Harbor, Maine",44.3876378,-68.2043361,,
Fall,1979,Dimetroden,NA,"Warrren, Vermont ",,,,
Summer,1998,Dieu Donne,Intern,"New York, New York",,,Not Scanned: Brachure of Dieu Donne,
Fall,2014,Dharamsala international Film Festival,Intern,"Dharamshala, India",32.2143039,76.3196717,,
Fall,1991,Department of Range and Wildlife Texas Technical University,Intern,"Lubbock, Texas",33.5855677,-101.8470215,,"cannot find LUNNOCK which was entered, coordinates for LUBBOCK"
Summer 2011,2011,"Department of Mammalogy, Smithsonian National Museum of Natural History",Intern,"Washington, D.C.",38.8950368,-77.0365427,,
Spring,2018,Department of Environmental Education,Project Assistant,"Yucatán, Mexico",20.6845957,-88.8755669,,
Summer,2006,Department of Enviromental Protection,Intern,"Seaside Park, New Jersey",39.9267832,-74.0763847,,
Summer,1993,Dennis King,Intern,"Penobscot, Maine",,,,
Summer,2012,Dennis Bracale,Intern,"Bar Harbor, Maine",44.3876378,-68.2043361,,
Summer,2003,Democracy Now!,Intern,"New York, New York",,,,
Fall,2019,Deborah Mitchell,Assistant Photographer,"Miami, Florida",,,,
